SceneID,ConditionID,RepetitionID,DatasetName,Distance,DensityRatio,CorrectAnswer
1,1,1,Stimuli11_-0.250_2,1.0,-0.250,2
2,1,2,Stimuli12_-0.250_1,1.0,-0.250,1
3,1,3,Stimuli13_-0.250_2,1.0,-0.250,2
4,1,4,Stimuli14_-0.250_2,1.0,-0.250,2
5,1,5,Stimuli15_-0.250_2,1.0,-0.250,2
6,1,6,Stimuli16_-0.250_2,1.0,-0.250,2
7,1,7,Stimuli17_-0.250_1,1.0,-0.250,1
8,1,8,Stimuli18_-0.250_1,1.0,-0.250,1
9,1,9,Stimuli19_-0.250_1,1.0,-0.250,1
10,1,10,Stimuli20_-0.250_1,1.0,-0.250,1
11,2,1,Stimuli21_-0.200_1,1.0,-0.200,1
12,2,2,Stimuli22_-0.200_2,1.0,-0.200,2
13,2,3,Stimuli23_-0.200_2,1.0,-0.200,2
14,2,4,Stimuli24_-0.200_1,1.0,-0.200,1
15,2,5,Stimuli25_-0.200_2,1.0,-0.200,2
16,2,6,Stimuli26_-0.200_2,1.0,-0.200,2
17,2,7,Stimuli27_-0.200_1,1.0,-0.200,1
18,2,8,Stimuli28_-0.200_2,1.0,-0.200,2
19,2,9,Stimuli29_-0.200_1,1.0,-0.200,1
20,2,10,Stimuli30_-0.200_1,1.0,-0.200,1
21,3,1,Stimuli31_-0.150_2,1.0,-0.150,2
22,3,2,Stimuli32_-0.150_2,1.0,-0.150,2
23,3,3,Stimuli33_-0.150_2,1.0,-0.150,2
24,3,4,Stimuli34_-0.150_1,1.0,-0.150,1
25,3,5,Stimuli35_-0.150_2,1.0,-0.150,2
26,3,6,Stimuli36_-0.150_1,1.0,-0.150,1
27,3,7,Stimuli37_-0.150_1,1.0,-0.150,1
28,3,8,Stimuli38_-0.150_2,1.0,-0.150,2
29,3,9,Stimuli39_-0.150_1,1.0,-0.150,1
30,3,10,Stimuli40_-0.150_1,1.0,-0.150,1
31,4,1,Stimuli41_-0.100_2,1.0,-0.100,2
32,4,2,Stimuli42_-0.100_1,1.0,-0.100,1
33,4,3,Stimuli43_-0.100_1,1.0,-0.100,1
34,4,4,Stimuli44_-0.100_2,1.0,-0.100,2
