x,y,z,label
-0.881595,0.124376,0.119351,1
-0.744318,0.006528,0.045505,1
0.511943,0.081128,0.270856,2
-0.372122,-0.331763,0.097295,1
-0.436043,-0.122683,0.265363,1
0.397898,-0.180651,-0.253978,2
0.224942,0.222641,-0.346634,2
-0.458646,0.157564,-0.035787,1
0.650473,0.172656,0.101465,2
0.531265,-0.057108,-0.168979,2
-0.546020,-0.062171,-0.288511,1
0.324172,-0.014111,-0.176320,2
0.519158,0.234401,-0.139207,2
0.262625,-0.269010,0.242297,2
-0.526297,-0.114579,0.243986,1
0.867872,0.500000,-0.058859,2
0.417858,-0.365716,-0.204286,2
-0.648933,0.254492,0.052930,1
-0.846912,-0.110901,-0.164220,1
0.539592,-0.067212,0.020345,2
0.774499,-0.427164,0.008836,2
0.375879,-0.030557,0.348279,2
0.338744,0.252154,-0.210295,2
-0.251467,0.413436,0.194337,1
0.462417,-0.039766,0.337303,2
-0.675056,0.105877,0.204067,1
-0.741632,-0.063180,-0.116921,1
0.308008,-0.040561,0.145820,2
-0.641686,-0.057385,0.112569,1
0.475696,0.171282,-0.079055,2
-0.707895,0.123887,-0.060306,1
0.500115,-0.077731,0.283065,2
0.729944,-0.150249,-0.189529,2
-0.534138,-0.128093,0.129117,1
-0.314603,0.172918,-0.244272,1
0.248879,-0.034671,0.485408,2
0.624769,0.433197,-0.500000,2
-0.591215,-0.057801,0.003057,1
0.107773,-0.224084,-0.290378,2
-0.447124,0.026671,0.109588,1
-0.911877,-0.109368,-0.298802,1
-0.318940,0.124286,0.346766,1
-0.612466,0.169823,-0.123957,1
0.755773,-0.236658,0.309729,2
-0.507579,-0.033054,-0.135253,1
-0.674164,0.047935,-0.095090,1
-0.442562,0.152689,0.207356,1
0.267552,0.067659,-0.046913,2
-0.358428,-0.259559,0.248452,1
0.956887,-0.000394,0.019399,2
-0.249570,-0.169961,-0.058380,1
0.582802,0.172516,-0.377928,2
-0.261283,0.230891,0.152993,1
-0.468464,-0.103748,0.126890,1
-0.678445,0.039429,-0.036217,1
0.424722,0.017417,-0.122316,2
-0.353976,0.413238,0.295828,1
-0.576910,0.231549,0.051623,1
-0.823847,-0.018095,-0.119627,1
0.351093,0.309614,0.102665,2
-0.707729,-0.121479,0.009610,1
0.545185,0.200235,0.058226,2
-0.405198,-0.207098,0.280501,1
-0.574526,0.279864,0.395510,1
0.625804,0.011244,0.199686,2
0.373833,-0.069937,-0.178268,2
-0.644107,-0.191612,0.078950,1
-0.422671,0.092059,0.236163,1
0.135381,-0.044742,0.120096,2
0.543463,0.171365,-0.214799,2
-0.148674,-0.080550,-0.137798,1
0.379072,-0.258233,-0.098092,2
-0.642267,-0.115565,0.219438,1
-0.562787,0.131493,0.202407,1
0.375230,0.180589,0.088139,2
-0.922426,0.066514,-0.170635,1
0.678809,-0.012527,-0.117407,2
0.579112,0.113570,-0.012260,2
