x,y,z,label
0.121904,0.062409,0.060139,2
0.528069,-0.340242,0.105674,2
0.188929,0.133931,-0.112849,2
0.592130,0.286541,0.116763,2
0.374509,-0.029966,0.227187,2
-0.359641,-0.374396,0.046644,1
0.282142,0.314062,0.170168,2
0.517753,0.142924,0.301229,2
-0.782940,-0.093233,0.107521,1
-0.480150,0.183537,-0.005553,1
0.389952,-0.161507,0.008401,2
0.391977,0.129077,-0.103679,2
0.676069,-0.186118,0.306403,2
-0.539842,0.395694,0.050178,1
0.548079,0.129264,-0.002277,2
-0.701625,0.130185,0.265277,1
0.581327,-0.058419,0.267168,2
0.480337,0.043526,0.172066,2
0.424629,0.210036,0.093897,2
0.257435,0.306597,0.328500,2
0.302036,0.217483,0.082222,2
-0.548287,-0.218156,-0.320050,1
-0.246240,-0.143719,-0.237642,1
0.324306,-0.034350,0.009217,2
-0.376538,-0.027321,-0.134209,1
-0.903116,0.385210,0.307157,1
0.452333,-0.096830,0.280202,2
0.590333,0.209947,-0.215333,2
-0.419747,0.101394,0.199500,1
0.551397,-0.069874,0.109652,2
-0.671044,0.182369,0.050002,1
-0.656540,-0.091039,0.050933,1
-0.321050,0.258415,-0.098699,1
0.380643,-0.402669,-0.221708,2
0.958875,0.009769,-0.164992,2
-0.723967,0.237353,-0.129795,1
0.285198,-0.188569,0.172174,2
-0.479670,-0.168974,-0.130720,1
-0.457026,0.194387,0.007282,1
-0.709661,0.228727,-0.230731,1
0.300322,0.121515,0.007740,2
0.489644,0.080747,-0.126693,2
-0.450517,-0.007975,-0.265083,1
0.575513,-0.238837,-0.106764,2
0.460573,0.481729,-0.046013,2
0.774696,0.236952,0.412915,2
-0.801100,0.452749,0.257837,1
0.350777,-0.112537,-0.099039,2
0.539339,0.177411,-0.224461,2
0.471842,-0.182630,-0.295809,2
0.364939,0.336626,-0.290190,2
-0.331644,-0.272855,0.343775,1
0.125404,0.180419,0.227672,2
-0.778099,0.041596,-0.222372,1
-0.631652,0.020260,0.253036,1
-0.459812,-0.019807,0.124707,1
0.765585,-0.084005,0.068871,2
0.742184,-0.117975,0.035946,2
-0.826933,0.102319,0.140837,1
0.846514,0.032931,0.073444,2
-0.177527,0.029851,-0.119674,1
-0.494906,-0.191392,-0.258750,1
0.434156,0.067184,-0.069878,2
-0.202470,0.074657,0.163577,1
-0.712363,0.030642,0.058919,1
0.411675,-0.158609,0.138038,2
