x,y,z,label
0.880231,0.224771,0.192289,2
0.545713,0.293399,0.065004,2
-0.712673,-0.000561,0.110216,1
0.828586,-0.068189,-0.075977,2
0.614855,0.182880,0.095407,2
0.395843,-0.302607,0.073523,2
0.407930,-0.026873,0.095586,2
0.858226,0.210507,0.046201,2
-0.754667,0.292956,0.260039,1
-0.576217,0.057328,-0.178270,1
-0.405406,-0.085238,-0.217224,1
-0.202001,-0.080450,-0.023182,1
-0.157072,-0.349362,0.183854,1
0.387312,0.004383,0.237230,2
-0.902051,0.138888,-0.151184,1
-0.781483,0.279752,0.363652,1
-0.555954,0.025540,-0.029927,1
0.588363,0.374090,0.051548,2
0.817557,-0.014470,-0.294885,2
-0.117321,-0.135337,0.137981,1
0.450990,-0.072565,0.017397,2
0.712516,0.246538,-0.092700,2
-0.566036,-0.350584,-0.169228,1
-0.117555,0.344568,-0.185619,1
0.480151,0.221679,0.117326,2
-0.479324,0.291933,-0.482889,1
0.787476,0.065579,0.175145,2
0.000000,-0.420242,-0.043553,2
0.156791,-0.180655,-0.242456,2
-0.570683,-0.138394,0.292123,1
-0.500654,-0.008744,0.168199,1
-0.080299,0.114563,0.111057,1
0.733487,-0.291193,0.199374,2
-0.396092,-0.178946,-0.124457,1
-0.336318,-0.247921,0.032933,1
0.713191,-0.182140,0.447898,2
0.321453,0.053959,0.036474,2
0.694139,-0.366839,-0.500000,2
-0.279781,0.063369,0.123742,1
-0.365283,-0.009926,-0.246744,1
0.418806,0.282747,-0.041692,2
-0.148667,-0.416241,-0.135107,1
-0.571534,-0.314155,0.025102,1
-0.386925,-0.085912,0.162323,1
-0.404685,-0.024809,0.143471,1
-0.556638,0.016966,0.113815,1
0.501213,-0.430704,0.325924,2
-0.591084,0.213196,0.024105,1
0.261794,0.130634,0.055184,2
-0.500825,-0.443483,-0.092348,1
0.491189,-0.186406,-0.005693,2
-0.631039,-0.161606,0.220382,1
-0.726925,0.288945,-0.365740,1
0.883504,0.023767,0.191645,2
-0.571468,-0.072628,0.413835,1
-0.431612,-0.451226,0.340003,1
-0.675109,0.002148,0.000593,1
-0.354085,-0.187502,-0.123648,1
-0.193901,-0.074759,-0.161575,1
0.452878,0.014043,-0.063687,2
-0.658655,0.446846,0.155865,1
0.376893,-0.071278,0.100201,2
-0.844595,0.077023,-0.198348,1
-0.405819,0.208266,-0.102672,1
-0.901814,0.272968,-0.012964,1
0.491275,0.176128,0.002486,2
0.378678,-0.035162,0.428751,2
-0.633880,-0.013045,-0.134535,1
0.168733,-0.078973,-0.139532,2
-0.416810,0.160857,-0.258359,1
-0.454518,-0.013101,0.125612,1
-0.530067,0.082168,-0.105439,1
-0.402099,-0.155324,0.133677,1
-0.466930,0.226017,-0.000976,1
-0.711201,0.065792,-0.143175,1
-0.439262,0.218809,0.104626,1
0.693468,-0.282561,0.130528,2
-0.520713,0.290854,0.265210,1
-0.367988,0.124509,-0.190544,1
-0.386438,-0.248875,-0.122999,1
-0.502434,-0.280710,0.229212,1
-0.722944,0.110896,-0.390533,1
0.858049,-0.058819,-0.178329,2
0.601672,0.250009,0.162204,2
0.413186,-0.114589,0.146150,2
-0.255259,-0.002681,-0.208446,1
-0.926835,0.073357,0.009742,1
-0.707798,0.432022,-0.101995,1
-0.860317,0.010518,0.076299,1
-0.651937,-0.070317,0.012065,1
-0.629499,-0.404654,0.055989,1
0.443606,0.392357,0.121244,2
0.191350,0.197653,-0.137052,2
0.483800,0.053357,-0.002907,2
-0.512768,-0.385021,-0.202820,1
-1.000000,-0.408209,0.076041,1
-0.237407,0.064656,-0.041656,1
-0.533767,0.457595,-0.231849,1
-0.139960,-0.124373,-0.472352,1
0.482637,0.441075,-0.051498,2
-0.578989,-0.433024,0.292629,1
-0.816002,-0.036346,-0.360633,1
0.593002,-0.461874,-0.047037,2
-0.461907,0.088688,-0.007809,1
-0.226480,0.006994,0.220493,1
-0.671393,0.241147,0.265657,1
-0.138839,-0.158900,-0.077942,1
-0.640696,0.034618,-0.243220,1
-0.763381,0.375333,-0.229764,1
-0.706256,-0.338392,-0.205950,1
-0.563889,-0.195726,0.148424,1
0.793065,0.039294,-0.110807,2
-0.623915,0.022344,-0.045853,1
0.278067,-0.336204,-0.257610,2
0.439802,0.091770,-0.059851,2
-0.415296,-0.040168,-0.116603,1
0.835387,-0.351123,-0.048348,2
-0.587038,-0.054184,-0.367332,1
-0.546739,0.251031,-0.386935,1
0.657312,0.071505,-0.190347,2
0.529086,0.482310,-0.017403,2
-0.783514,0.117317,0.060326,1
0.331313,0.047639,0.130600,2
0.619285,-0.189526,-0.211239,2
-0.145067,0.158977,-0.079644,1
-0.252666,0.220422,-0.066574,1
-0.605315,-0.079641,0.252446,1
0.262982,-0.102434,-0.010166,2
-0.599337,-0.034317,0.258757,1
0.189961,0.358253,0.286961,2
-0.294371,0.105303,-0.141155,1
-0.640136,0.214657,0.017689,1
-0.508742,-0.002426,0.334259,1
0.688500,0.365741,-0.205023,2
-0.158939,0.293412,-0.097373,1
-0.774751,0.080823,0.256403,1
0.347380,0.473081,0.161172,2
-0.182066,-0.122648,-0.124284,1
0.481060,0.099297,0.024090,2
0.632240,0.056248,0.114739,2
0.467217,-0.262820,-0.105841,2
0.808527,-0.050472,-0.103255,2
0.384162,-0.144182,-0.085127,2
-0.631237,-0.145893,0.161159,1
0.340694,0.207153,0.102893,2
0.280643,0.034653,0.240027,2
-0.750169,0.193774,-0.062584,1
0.373751,0.075442,0.190224,2
-0.419292,0.232676,-0.250078,1
-0.815493,0.322421,-0.280198,1
-0.495113,0.241107,0.482086,1
-0.445094,-0.001628,0.465152,1
-0.564472,-0.123491,0.148884,1
-0.535260,-0.137046,-0.434270,1
-0.610021,-0.158623,0.014373,1
0.026181,0.055900,-0.050901,2
0.453824,0.209793,-0.178069,2
-0.604594,0.171915,-0.150732,1
0.803693,0.332173,-0.239026,2
0.496570,-0.310038,-0.068415,2
0.210059,0.244825,-0.097652,2
-0.699934,0.006524,0.342042,1
0.259651,-0.054948,-0.180279,2
-0.315946,0.145082,0.256941,1
-0.283802,0.157583,0.468365,1
0.836186,-0.327273,0.204076,2
-0.601306,-0.005233,0.071808,1
0.696838,0.008270,0.081753,2
-0.435157,0.408966,-0.173739,1
-0.536079,-0.028881,0.300784,1
-0.494304,0.073054,0.433645,1
0.813777,-0.234179,-0.222560,2
-0.339546,-0.041161,-0.110457,1
-0.666799,0.099044,-0.006156,1
0.478146,-0.331968,0.063962,2
-0.455127,-0.118234,0.102942,1
-0.597254,0.261039,0.075762,1
-0.513046,0.157989,-0.152119,1
-0.538996,0.224403,0.478968,1
-0.291449,-0.097637,-0.218100,1
-0.591334,0.368714,-0.043548,1
0.108544,0.183876,0.453567,2
-0.640729,0.075298,-0.018873,1
0.838671,-0.254220,0.136778,2
0.274588,-0.319243,-0.161461,2
-0.233841,-0.018272,-0.037277,1
0.465798,0.115963,-0.138661,2
0.592506,-0.020650,-0.050509,2
0.422650,0.217023,-0.049005,2
-0.370571,-0.063062,-0.148619,1
-0.278492,0.262875,0.430288,1
-0.427496,-0.357201,0.135701,1
-0.605481,0.324282,-0.052087,1
0.473716,-0.088984,0.002534,2
-0.580555,-0.158836,-0.356963,1
0.292846,-0.277994,0.359291,2
-0.553751,-0.361751,0.076950,1
-0.128762,-0.006407,-0.259025,1
-0.176943,0.046610,-0.011869,1
-0.587818,-0.132817,-0.060306,1
0.116720,-0.079232,-0.031630,2
0.912612,-0.328860,-0.365667,2
0.561020,0.294570,-0.363483,2
-0.693996,0.172707,-0.210406,1
0.744866,0.316949,0.297519,2
0.527663,-0.169513,-0.196820,2
-0.675646,-0.349674,-0.010653,1
-0.485771,0.312371,-0.072982,1
0.695752,-0.044117,0.482078,2
-0.645054,0.422484,0.019702,1
-0.396779,0.078256,0.281929,1
-0.600220,-0.028900,-0.128794,1
-0.268948,0.218769,0.038024,1
-0.558935,0.079859,0.014785,1
0.816459,0.150839,0.014838,2
-0.178609,0.161798,0.110931,1
0.635220,0.277799,0.119597,2
-0.588923,-0.018089,-0.483049,1
-0.928391,-0.138226,0.253870,1
-0.727677,0.065620,-0.245616,1
-0.768360,-0.487714,0.092414,1
-0.987100,0.440594,0.059845,1
0.551721,-0.462495,-0.033532,2
-0.690398,-0.477363,0.183111,1
0.713645,0.070536,0.287779,2
-0.528540,0.196719,0.105688,1
-0.360777,0.294836,-0.278510,1
0.526153,0.131486,0.344539,2
0.855478,0.306210,0.104832,2
0.519367,0.179024,-0.051794,2
-0.381094,-0.303885,0.411368,1
0.375883,-0.131520,0.232067,2
0.405517,0.175202,-0.220782,2
0.614089,-0.012514,-0.118690,2
-0.463127,-0.158044,0.104312,1
-0.450413,-0.057468,0.211476,1
0.258734,-0.178057,-0.147445,2
-0.803151,-0.165213,-0.202436,1
0.830009,0.047804,0.252536,2
-0.735881,-0.332927,0.453511,1
0.331119,-0.128679,-0.164524,2
0.278758,-0.281417,0.040336,2
-0.499133,0.093910,-0.384573,1
-0.241562,-0.136327,0.091259,1
0.269935,0.349174,0.147966,2
-0.332101,0.053061,0.137405,1
0.570472,0.316368,-0.255984,2
0.250290,-0.051049,-0.141023,2
-0.675748,0.062510,-0.196199,1
-0.164888,-0.307040,-0.083130,1
0.288966,0.130898,0.410550,2
0.440862,-0.461466,-0.441432,2
0.743272,0.167465,0.034724,2
-0.650617,-0.263295,0.037066,1
-0.342244,-0.072972,-0.125122,1
-0.098114,-0.354427,0.272899,1
0.365093,0.155454,0.010358,2
-0.444126,0.140063,-0.065998,1
0.247923,0.133058,0.176780,2
-0.456079,0.029561,-0.037652,1
-0.769014,-0.057816,-0.233963,1
