x,y,z,label
-0.201321,0.108150,0.208327,1
0.296522,-0.226923,-0.234808,2
-0.719497,0.214623,-0.106947,1
-0.828227,0.168862,-0.039198,1
-0.626194,-0.242665,-0.137636,1
-0.685875,0.041862,0.053801,1
-0.562458,-0.006325,-0.219584,1
-0.536869,0.241899,0.011689,1
0.549799,-0.311304,-0.241867,2
0.543282,-0.454594,-0.120323,2
-0.756078,-0.078659,-0.119056,1
0.597401,0.349759,-0.133023,2
-0.464152,0.005447,-0.221062,1
0.414145,0.202507,-0.207170,2
-0.766966,-0.005214,0.172899,1
0.452441,-0.319903,-0.067827,2
-0.604600,-0.181911,0.186278,1
0.459538,0.202530,-0.345377,2
-0.475959,0.012631,0.229547,1
-0.137290,-0.354863,-0.018912,1
0.050620,0.200654,0.146457,2
0.059038,-0.164500,0.183713,2
0.829354,0.344535,-0.237824,2
0.234524,-0.028668,0.151583,2
-0.662540,0.119748,-0.094070,1
-0.362855,0.191595,-0.111137,1
-0.483852,-0.156403,-0.440304,1
0.513333,-0.017693,0.192413,2
-0.223325,0.109662,0.094993,1
-0.591525,0.144200,-0.217924,1
0.518860,0.007144,-0.151764,2
-0.392368,-0.136867,0.185580,1
0.460507,-0.183919,-0.082364,2
-0.698136,-0.006804,0.103968,1
-0.646105,0.052992,-0.171886,1
0.522493,0.123009,-0.202862,2
-0.603986,0.068936,0.267806,1
0.190193,0.095770,-0.010100,2
-0.427094,-0.103953,-0.270298,1
-0.952344,-0.010746,0.395541,1
0.579659,0.237917,-0.109565,2
0.619889,-0.303465,0.031846,2
-0.260142,0.007470,0.284698,1
-0.260953,-0.114755,-0.162365,1
-0.721792,0.137340,0.088996,1
-0.695177,0.140082,0.293705,1
-0.410225,-0.052549,-0.317294,1
-0.051697,-0.199341,-0.066920,1
0.422898,-0.043501,0.371927,2
-0.776937,0.202339,-0.125779,1
0.502181,0.453164,-0.063077,2
0.564013,-0.110720,0.128309,2
0.463752,-0.365056,-0.239192,2
0.581417,-0.175530,-0.165091,2
0.467999,0.071491,0.093168,2
0.569808,0.113561,-0.115772,2
0.417419,-0.450275,0.262007,2
0.659223,0.124304,0.155191,2
0.276813,0.199745,-0.089423,2
-0.507533,-0.026689,-0.086879,1
-0.692899,0.299213,0.371068,1
0.635251,0.119186,-0.131129,2
-0.119254,-0.233428,0.197792,1
-0.713940,0.207514,0.170906,1
-0.412543,0.215863,0.179063,1
-0.321248,0.006448,-0.047455,1
-0.818101,0.313546,-0.101505,1
0.588463,0.073696,0.338700,2
-0.651764,0.142693,-0.045767,1
-0.298316,-0.171909,0.042405,1
0.401506,-0.152925,-0.040081,2
0.717669,0.379541,0.125420,2
-0.291858,-0.212059,0.108510,1
-0.318275,0.139521,-0.282920,1
-0.310353,0.398622,-0.148288,1
0.684772,-0.088391,0.116086,2
0.727657,-0.269897,0.286609,2
0.448783,0.018126,0.061584,2
0.554855,0.120309,-0.130209,2
-0.489299,-0.120689,0.005055,1
0.520365,0.104279,0.218696,2
-0.307106,-0.021823,-0.094374,1
0.558451,-0.389767,0.122272,2
-0.559520,-0.033250,0.283508,1
0.368980,0.195733,-0.022925,2
0.333450,-0.455648,0.218802,2
0.412432,0.085482,0.288291,2
-0.781838,0.052886,-0.241372,1
-0.381844,0.123710,0.102242,1
-0.556154,0.379976,-0.070240,1
-0.020590,0.069599,-0.378852,1
0.823306,0.004162,-0.013456,2
-0.191388,-0.092371,0.002444,1
-0.380737,0.096006,0.007016,1
-0.430109,-0.365887,0.324194,1
0.600885,0.070116,0.013250,2
0.423318,-0.055421,0.137228,2
0.065215,0.077048,-0.300951,2
-0.403711,-0.144740,-0.293139,1
-1.000000,-0.189470,0.168568,1
-0.137087,0.225146,-0.113720,1
0.100193,-0.123376,0.081607,2
-0.661352,-0.119353,0.316714,1
-0.253722,0.105700,0.101043,1
-0.312625,0.119445,-0.238448,1
-0.248653,0.037085,0.017656,1
-0.101930,-0.035006,-0.037828,1
-0.539799,-0.212700,-0.144385,1
-0.694222,-0.024250,-0.412561,1
-0.292993,-0.090973,-0.037929,1
-0.850986,0.126703,-0.021255,1
-0.415389,-0.211980,0.071067,1
-0.381517,0.275653,0.024407,1
0.241654,0.024249,0.028757,2
0.629014,0.335417,-0.067148,2
-0.619940,0.197239,0.038461,1
-0.611012,0.089500,-0.173065,1
-0.396349,0.355327,-0.173921,1
0.338688,0.258054,-0.270472,2
-0.892857,0.224165,0.230620,1
-0.781914,0.101383,0.036553,1
-0.239981,-0.023629,-0.239448,1
-0.563869,-0.338056,-0.003252,1
0.694316,0.069412,0.403999,2
0.217545,0.303747,0.213601,2
-0.775934,0.141736,0.271164,1
-0.168735,0.326506,-0.194308,1
-0.601278,0.005875,0.134391,1
-0.328626,0.104996,-0.070643,1
-0.132958,-0.212454,-0.086191,1
-0.516126,-0.092765,0.077556,1
-0.689951,-0.208859,0.274156,1
-0.395660,-0.047435,-0.161722,1
-0.219733,0.154297,0.339824,1
-0.405957,0.319929,0.020340,1
-0.361438,0.035980,0.009428,1
-0.147641,0.321946,-0.209474,1
0.501550,-0.179252,0.138320,2
-0.230180,0.156573,0.078218,1
0.490565,0.069175,0.236780,2
-0.668614,-0.044900,-0.001571,1
-0.625618,-0.265894,0.239616,1
0.567837,0.191465,-0.351467,2
-0.580283,0.196408,-0.020034,1
-0.230704,0.078571,-0.111065,1
-0.903407,-0.006828,0.290319,1
0.558904,0.008575,0.157782,2
0.516138,-0.061509,0.317089,2
0.263985,0.437409,0.089433,2
-0.510867,-0.094663,0.436803,1
-0.129782,-0.270857,-0.334149,1
-0.366181,0.063674,-0.041123,1
-0.849500,-0.224822,-0.037148,1
-0.233964,-0.371626,-0.055955,1
-0.696839,-0.002372,0.309741,1
0.171659,-0.192594,0.147251,2
-0.678311,-0.050551,0.057506,1
-0.201874,-0.419330,-0.089405,1
0.531797,-0.248803,-0.294931,2
-0.479914,-0.353893,0.078354,1
-0.456949,0.133827,0.148173,1
0.496833,0.080429,0.388099,2
-0.696426,0.210508,-0.109501,1
0.700694,0.159050,0.048149,2
-0.826920,-0.248885,-0.045430,1
-0.723038,-0.244412,-0.163280,1
-0.849635,0.009201,0.084840,1
0.427473,0.341398,-0.041078,2
0.340612,0.179106,0.085200,2
-0.742634,0.142533,0.041846,1
-0.342596,0.058852,0.088861,1
-0.749585,0.143224,-0.006031,1
-0.586811,0.007825,0.160894,1
-0.348523,-0.403446,0.234787,1
-0.752399,-0.036682,0.464977,1
0.663560,0.025053,0.109445,2
-0.046231,-0.382048,-0.005623,1
-0.420393,-0.236559,0.314018,1
-0.617476,-0.043194,0.053891,1
-0.435709,0.069888,-0.076561,1
0.268083,-0.222931,0.150200,2
-0.710305,0.283367,0.113523,1
-0.587972,0.010403,0.043851,1
0.514368,-0.406320,0.081337,2
0.866788,0.019813,0.097126,2
-0.497362,0.491808,-0.390873,1
-0.894978,0.088925,-0.055312,1
0.067003,-0.096875,-0.129982,2
0.556692,0.322325,0.024793,2
0.355952,0.101468,-0.252630,2
0.744593,-0.256095,-0.083060,2
0.221605,-0.153909,0.010852,2
-0.198683,0.136347,-0.041031,1
-0.380759,-0.311133,-0.039324,1
-0.763093,-0.079573,-0.043240,1
-0.515478,-0.209219,0.094600,1
-0.370039,0.386428,-0.185510,1
0.409092,0.119717,0.250295,2
-0.270236,0.221207,-0.000222,1
0.272639,0.013880,-0.211301,2
0.557178,-0.088189,-0.176899,2
-0.621968,-0.316500,0.208125,1
-0.655779,-0.239661,-0.040328,1
0.364130,-0.097342,-0.207193,2
-0.587260,0.249728,-0.167837,1
-0.483919,0.193925,0.030850,1
0.716686,0.150590,-0.018558,2
0.788288,-0.119297,-0.104835,2
-0.713450,0.086729,-0.134976,1
-0.509572,0.143976,0.485322,1
0.573406,0.054243,-0.004459,2
-0.385285,-0.360504,-0.018877,1
0.794794,0.477905,0.152528,2
0.365773,-0.128194,0.165756,2
0.669041,0.235170,-0.042572,2
0.228680,-0.035540,0.270740,2
-0.379969,0.425797,0.041242,1
-0.888582,-0.116186,0.165468,1
-0.687095,-0.030076,0.205972,1
-0.184813,-0.033118,0.130981,1
0.453628,0.240360,-0.265187,2
0.563073,0.356981,0.196446,2
-0.684023,0.041840,-0.060978,1
-0.463072,-0.103876,0.257905,1
0.553393,-0.311829,0.231943,2
-0.612918,-0.173978,0.219191,1
0.351571,0.098529,-0.371503,2
0.534933,-0.093551,0.330026,2
-0.629666,0.097999,-0.420377,1
-0.497478,0.022645,0.217901,1
0.669274,-0.268554,-0.041255,2
-0.737311,0.109813,-0.028753,1
0.608546,0.038181,0.097802,2
0.724923,-0.094541,-0.162318,2
-0.497161,0.114925,-0.401196,1
-0.558678,-0.004180,-0.126673,1
-0.256494,0.079193,0.112612,1
-0.380379,0.265337,0.167458,1
0.131646,-0.264803,-0.227262,2
-0.614868,0.051924,0.181398,1
-0.237868,-0.147128,0.443628,1
-0.666550,-0.105818,-0.015379,1
-0.531255,0.139591,0.003432,1
0.699154,-0.193802,0.098480,2
-0.379775,-0.169448,0.114313,1
0.647461,0.162528,-0.081660,2
-0.462750,-0.010048,0.223066,1
-0.647848,0.296259,-0.224180,1
-0.613624,-0.171487,0.133819,1
-0.496049,0.112336,-0.205560,1
-0.702928,-0.339455,0.018733,1
0.257434,0.282689,0.138087,2
0.034764,0.119552,-0.114145,2
0.327741,-0.144845,-0.096954,2
0.418287,-0.054598,0.051387,2
-0.672179,-0.209395,-0.138216,1
-0.351474,-0.113559,-0.093845,1
-0.777600,0.082449,-0.106092,1
0.624089,-0.149975,0.141598,2
-0.935088,0.191659,0.117455,1
-0.074616,-0.013360,0.084878,1
-0.583524,0.247776,-0.032811,1
0.515648,-0.314756,0.128888,2
-0.555768,0.074932,-0.120942,1
-0.486924,-0.289405,0.195300,1
0.678040,-0.120882,-0.037742,2
-0.527681,0.353946,0.136870,1
0.165520,0.215267,0.361549,2
-0.031953,-0.214986,-0.155712,1
0.545208,-0.182292,0.215249,2
0.493702,0.045105,-0.068231,2
-0.214426,-0.069432,-0.098615,1
0.293809,0.027364,-0.395799,2
-0.356821,-0.275151,-0.349228,1
-0.714898,0.179347,0.127675,1
0.506876,0.150417,0.256109,2
0.487450,0.224729,-0.151963,2
0.176201,-0.356972,0.078075,2
0.698691,0.080507,-0.063051,2
0.607563,0.260663,0.124400,2
-0.415504,0.270803,0.026673,1
-0.626314,0.061117,-0.002160,1
0.216321,0.064541,0.392947,2
-0.589909,0.019059,-0.077631,1
0.526842,-0.069245,0.461159,2
-0.510678,-0.082652,-0.372934,1
-0.456149,0.098496,-0.088950,1
0.073674,0.039288,0.215270,2
-0.931862,0.051913,-0.341567,1
0.213228,-0.051629,0.228075,2
-0.232806,-0.221062,0.303631,1
0.003413,0.157638,-0.224535,2
-0.558644,0.204191,0.049731,1
-0.623304,0.116114,0.100397,1
-0.351205,-0.016918,0.078131,1
0.558979,-0.215241,-0.219700,2
-0.010473,-0.020493,0.096515,1
0.318333,0.007842,0.302601,2
0.490725,-0.036441,-0.002005,2
-0.329230,-0.285563,0.188489,1
-0.232878,-0.383878,0.113211,1
0.470547,0.037405,0.380496,2
0.562839,0.400514,-0.060555,2
-0.462246,0.406415,-0.071811,1
