x,y,z,label
-0.529542,-0.350496,0.152208,1
-0.560088,0.150730,-0.500000,1
0.427018,0.104756,-0.079826,2
-0.502656,-0.051146,0.189853,1
-0.238362,0.239924,0.186150,1
0.852476,-0.057926,0.470674,2
0.442109,0.170366,-0.159192,2
0.133780,0.169774,0.224598,2
0.262001,-0.108985,0.181042,2
-0.443716,-0.120089,0.103003,1
-0.884358,0.101280,0.249282,1
0.556612,-0.036118,-0.059477,2
-0.442902,0.200916,-0.291051,1
0.541203,-0.047665,-0.231131,2
-0.393694,-0.166592,0.098948,1
0.197748,0.045843,0.339363,2
0.697863,-0.037927,0.075586,2
-0.667075,0.175430,0.143968,1
-0.568743,0.037687,0.086646,1
-0.393974,0.004509,-0.113078,1
0.455832,-0.189125,0.022669,2
0.578115,-0.227365,-0.058407,2
-0.443127,-0.038082,-0.027975,1
-0.642243,-0.020696,-0.050268,1
0.425125,-0.023140,0.120124,2
-0.458965,0.389464,0.091163,1
0.461875,-0.051126,-0.100337,2
-0.531947,-0.045043,-0.243367,1
0.789913,0.180846,0.173447,2
-0.380431,-0.162738,-0.080321,1
-0.633120,0.020702,-0.215357,1
-0.570521,-0.091022,-0.064504,1
0.573014,-0.192300,-0.167958,2
0.565148,-0.300970,-0.385949,2
-0.150604,-0.086640,-0.018736,1
-0.582493,-0.289327,0.133653,1
-0.340368,-0.072609,0.090740,1
0.958049,0.132603,-0.152175,2
0.387338,-0.102484,-0.002111,2
-0.536342,0.146063,-0.236196,1
-0.308593,0.077926,-0.053580,1
-0.637374,0.088659,0.067143,1
-0.650811,0.226220,0.257769,1
0.546069,-0.318977,0.022104,2
-0.499154,-0.084052,-0.023479,1
0.730123,0.045429,-0.170806,2
0.452216,-0.120045,0.161759,2
0.229223,0.263906,-0.365492,2
0.505405,-0.078063,-0.072730,2
-0.780562,-0.215924,-0.018042,1
0.270611,-0.029876,-0.126522,2
-0.728964,-0.222688,-0.082690,1
0.502016,-0.054896,0.097591,2
0.453323,-0.333670,0.135970,2
-0.686134,-0.005783,-0.014707,1
0.414473,-0.268211,-0.109824,2
-0.417735,-0.154099,-0.024210,1
-0.820299,0.376374,0.211072,1
0.428675,-0.192981,-0.110120,2
-0.746180,-0.164167,0.046420,1
0.535995,0.173751,-0.004336,2
-0.388586,-0.267155,0.117289,1
-0.694944,-0.378819,0.003145,1
-0.709679,0.412369,0.365947,1
0.217181,0.014297,-0.276112,2
0.385384,-0.040299,0.086968,2
0.330614,-0.175886,0.178511,2
-0.431451,-0.027688,0.115917,1
-0.426795,0.094911,-0.207920,1
-0.329392,-0.195555,0.186377,1
