x,y,z,label
-0.561458,0.117190,0.177505,1
-0.738876,0.051783,0.008045,1
-0.183610,-0.208352,0.226559,1
0.559688,-0.208619,-0.089899,2
-0.572077,-0.191610,-0.413834,1
0.305005,-0.182265,0.050767,2
0.655926,-0.147093,-0.091659,2
0.441807,0.158784,0.366050,2
-0.423843,-0.381584,-0.000966,1
0.460910,-0.307235,0.042098,2
-0.091284,-0.081445,0.141545,1
-0.457954,0.177807,0.145551,1
0.840678,-0.499770,0.234575,2
-0.435084,-0.079987,0.054323,1
-0.335068,0.250970,0.012025,1
0.872368,-0.044703,-0.202740,2
-0.688836,-0.298981,0.065876,1
0.359903,0.215526,0.448919,2
0.517737,0.097570,-0.016073,2
-0.876656,0.087415,-0.038880,1
0.198221,-0.127763,0.013540,2
-0.355268,0.339509,-0.003006,1
-0.537730,-0.149846,0.163594,1
-0.549383,0.133479,-0.226309,1
-0.267009,-0.058828,-0.202492,1
-0.549686,-0.158653,-0.227755,1
-0.278111,-0.177833,-0.015880,1
-0.260031,-0.103326,0.105954,1
-0.612789,0.127833,-0.256624,1
0.612791,-0.101904,-0.355571,2
0.443920,0.106577,0.200868,2
0.262160,0.228970,0.013705,2
-0.797017,-0.268978,-0.286955,1
-0.772786,0.274316,0.139444,1
-0.572071,-0.263522,0.188124,1
0.391120,-0.221701,-0.115386,2
0.221362,-0.090867,0.135442,2
-0.671992,0.069998,-0.012306,1
-0.373929,0.027398,0.228906,1
-0.782502,0.208403,0.289938,1
-0.782717,-0.128459,0.179442,1
-0.270791,-0.350132,-0.009896,1
0.429370,-0.074000,0.004291,2
-0.444481,-0.017467,0.029551,1
0.751045,-0.002512,0.412242,2
-0.432624,0.302462,0.459379,1
0.346219,0.291436,-0.190885,2
0.577335,0.295787,-0.051295,2
-0.354840,0.142326,-0.108325,1
-0.927217,0.013913,0.061893,1
-0.636781,-0.147205,-0.045831,1
-0.264690,0.006426,-0.259417,1
0.725172,0.012207,0.125989,2
0.594241,0.219740,-0.339024,2
0.681167,-0.232746,-0.088412,2
0.454707,0.136674,0.375751,2
0.446099,0.371556,0.198245,2
-0.450644,0.163150,0.156287,1
-0.152258,-0.288972,0.030686,1
-0.509407,-0.011337,0.218554,1
-0.733615,-0.200887,-0.411220,1
-0.177843,0.012483,0.067003,1
-0.079473,0.028266,0.139834,1
0.620574,0.132446,-0.298684,2
0.873446,-0.072276,0.047606,2
-0.760467,-0.006820,0.050484,1
0.557538,-0.028970,-0.256204,2
0.614381,0.063822,-0.075016,2
0.684949,0.064474,-0.007323,2
0.483871,0.237125,0.251901,2
0.578798,-0.012676,-0.048633,2
0.657349,0.071511,-0.112933,2
-0.564018,-0.135317,0.108284,1
-0.431472,0.157811,0.045684,1
-0.487649,0.127473,0.083066,1
-0.448443,0.019732,0.046395,1
0.201232,-0.058657,0.343518,2
0.183079,-0.108298,-0.159586,2
0.353575,-0.365547,0.135954,2
-0.251823,-0.312460,0.334755,1
0.630946,-0.104750,0.183432,2
0.628740,0.125515,0.326507,2
0.647956,0.084934,0.019710,2
-0.086328,-0.144780,0.139232,1
0.510546,0.185765,-0.202977,2
-0.579849,-0.172834,-0.178399,1
0.523155,-0.422151,-0.196971,2
-0.214411,-0.408466,0.291473,1
-0.325690,0.130310,-0.284816,1
-0.529139,-0.100078,0.070661,1
0.464953,0.125252,0.215283,2
0.358251,0.147544,0.012909,2
-0.746123,0.126231,-0.192338,1
-0.746006,0.076042,0.123850,1
-0.311628,0.301248,-0.247518,1
0.835188,0.027914,-0.173480,2
-0.496071,-0.028699,-0.137967,1
-0.651407,-0.308244,-0.408183,1
-0.633853,0.100947,-0.160630,1
-0.551034,0.282547,-0.189275,1
0.749328,-0.185798,-0.208031,2
0.548261,0.156824,0.297582,2
0.303685,0.258676,-0.012690,2
0.438667,0.214736,0.356499,2
-0.785222,-0.398882,0.308962,1
-0.089075,0.004754,0.022148,1
0.342991,-0.013086,0.240289,2
-0.521710,0.176412,-0.224529,1
-0.491522,0.098138,-0.068028,1
0.230398,0.210465,-0.279723,2
-0.623972,0.192644,-0.099281,1
0.305645,0.072258,0.435039,2
-0.832456,-0.027355,0.042296,1
0.609069,0.393765,-0.338002,2
-0.441079,-0.295541,-0.048177,1
0.169220,0.015468,-0.142582,2
-0.687614,-0.387711,0.033257,1
0.198677,0.047283,0.206919,2
0.359937,0.282259,-0.031995,2
-0.552576,-0.034357,-0.248187,1
0.725502,-0.154767,0.189957,2
0.366839,0.038637,-0.064400,2
0.444592,-0.278666,-0.396734,2
0.636723,0.336402,-0.002505,2
0.051152,0.081217,-0.145311,2
0.890442,0.108725,0.144056,2
-0.315905,0.052602,0.042537,1
-0.545283,-0.239723,-0.097056,1
-0.654132,-0.280346,-0.273869,1
-0.591009,-0.008349,-0.420189,1
0.332253,-0.213103,-0.069302,2
-0.630381,-0.415750,-0.062377,1
0.670645,0.183455,-0.233334,2
-0.294082,0.132003,-0.132992,1
-0.463904,-0.103848,-0.008231,1
0.597407,0.236021,0.091350,2
0.570280,-0.020062,0.043989,2
0.337133,-0.182956,-0.160010,2
-0.636031,0.189253,-0.358635,1
-0.510976,0.128558,-0.210612,1
-0.625669,-0.197962,-0.244529,1
-0.420538,0.131441,0.047134,1
0.737187,0.050395,0.108960,2
0.621421,0.052725,-0.114785,2
0.522597,0.129482,-0.072035,2
-0.694023,0.243477,0.354734,1
-0.184918,-0.048354,-0.344839,1
-0.608347,0.078195,0.133581,1
0.534972,-0.295600,0.058038,2
-0.587544,-0.297221,-0.337540,1
0.728971,-0.089308,0.193172,2
-0.462006,0.240933,-0.274519,1
-0.597020,0.267177,-0.069261,1
-0.483415,-0.115914,0.249307,1
-0.377041,-0.085396,0.284800,1
0.322431,0.115568,0.229385,2
-0.682073,0.009425,0.212605,1
-0.246799,-0.130103,0.099140,1
0.275296,0.080563,-0.011702,2
0.444327,0.475663,-0.272471,2
0.394946,0.355448,-0.348713,2
0.604485,0.212607,-0.146799,2
0.514245,0.164645,0.204385,2
0.103553,-0.032967,0.250216,2
0.467447,0.152145,0.006395,2
0.698148,0.034733,0.338304,2
-0.396261,0.116469,0.091779,1
0.612083,0.352845,-0.189086,2
-0.462355,-0.151283,0.176957,1
-0.610078,-0.154917,-0.029995,1
-0.346217,-0.133628,-0.035948,1
0.554194,0.035877,0.152629,2
-0.614444,0.074035,0.087991,1
0.788940,0.000960,-0.039356,2
-0.445571,0.095870,-0.195236,1
-0.348272,-0.200018,-0.297595,1
0.368265,-0.242772,0.240598,2
0.479520,0.039578,-0.070904,2
0.225015,0.052564,0.111405,2
0.343291,-0.033963,0.135746,2
-0.091742,-0.213333,-0.144383,1
-0.868475,0.186262,0.094023,1
-0.463943,-0.063649,-0.160795,1
0.743795,0.064009,-0.500000,2
0.078738,0.282952,-0.063614,2
-0.114402,-0.014268,0.094513,1
0.522489,0.248179,-0.264492,2
0.311935,0.135767,0.183381,2
0.624511,0.268031,0.334703,2
-0.510979,0.225536,0.019291,1
0.683197,0.100226,-0.233125,2
0.388910,0.420730,0.407951,2
0.613854,0.194488,-0.113412,2
0.643965,-0.096140,0.093072,2
0.501439,0.168985,0.433508,2
-0.292969,-0.266534,-0.122751,1
-0.322118,0.143090,0.162590,1
0.482935,-0.103383,-0.102705,2
0.271718,0.169136,0.078118,2
-0.357702,0.004389,0.041165,1
0.577692,0.050849,-0.273352,2
0.937835,0.069503,0.307299,2
0.204245,0.158622,0.030459,2
-0.662289,-0.191921,-0.408452,1
-0.630745,-0.038402,0.230543,1
-0.633001,-0.456656,-0.123786,1
-0.339998,0.142353,0.008864,1
-0.943095,-0.023145,-0.328481,1
-0.495866,0.107800,0.165854,1
0.495556,0.092825,-0.074252,2
-0.468732,0.069565,0.088984,1
-0.272739,0.114642,-0.196765,1
0.698820,0.032951,0.057510,2
-0.439989,0.012627,0.252135,1
0.430582,0.236959,0.037009,2
-0.461648,-0.108139,-0.348841,1
-0.235028,-0.065775,-0.191343,1
0.652219,-0.348317,0.190655,2
0.822597,-0.376247,0.114506,2
0.688270,-0.220950,0.039792,2
0.409625,-0.161432,-0.200507,2
-0.169627,-0.055109,0.158137,1
-0.482152,0.012429,-0.012048,1
-0.532279,0.289943,-0.220227,1
0.396484,0.224711,0.255384,2
-0.266672,-0.249433,0.101632,1
0.655518,-0.168421,-0.122348,2
-0.121896,-0.098627,-0.054531,1
-0.346680,-0.154546,-0.418594,1
-0.886998,0.118070,-0.008313,1
