x,y,z,label
0.396573,-0.399949,-0.047095,2
0.260366,-0.043854,-0.070609,2
0.128224,-0.126099,0.006714,2
0.764618,0.299070,-0.104814,2
0.327305,0.285563,0.059497,2
0.498907,-0.127385,-0.104164,2
0.467797,0.017299,0.207573,2
-0.593763,0.320629,-0.227950,1
0.712604,0.200089,-0.232402,2
0.393096,-0.050998,0.139237,2
-0.442804,-0.063785,-0.224681,1
0.376019,-0.153506,-0.011636,2
0.200436,-0.332720,0.133024,2
0.354023,-0.058676,0.380914,2
-0.477883,-0.081490,0.209781,1
-0.716654,-0.110634,0.179071,1
0.460688,-0.031758,-0.076829,2
-0.508655,-0.153668,0.099915,1
-0.603427,0.086047,0.086424,1
-0.477473,-0.074715,0.099009,1
0.563572,-0.136602,0.100197,2
0.460494,-0.237806,-0.004670,2
-0.366015,-0.080987,-0.001192,1
-0.409648,0.200178,0.023630,1
0.440978,-0.089264,0.145992,2
0.185938,0.181692,0.005905,2
-0.368282,-0.089410,-0.100591,1
0.625864,-0.136702,-0.113545,2
-0.598773,0.285084,-0.153314,1
-0.508782,0.158268,-0.160730,1
-0.414826,-0.460963,0.123956,1
0.690507,-0.022245,-0.093134,2
0.443171,-0.352194,0.123866,2
-0.476195,0.250742,0.027175,1
0.299351,-0.283190,0.196564,2
-0.465796,0.082337,-0.248548,1
0.793206,0.111870,0.117189,2
-0.420106,0.122983,-0.004899,1
0.222364,-0.013704,-0.053155,2
0.536417,0.094160,0.025560,2
0.609175,0.036452,0.290738,2
-0.392626,-0.063903,-0.203589,1
0.926193,-0.159294,-0.000035,2
0.518525,0.071444,0.194804,2
0.527233,0.108847,0.399770,2
0.532976,-0.313763,-0.173619,2
0.444015,0.011280,0.315778,2
0.308292,0.041838,-0.038630,2
0.279670,-0.070355,-0.078010,2
0.600609,0.228379,-0.197771,2
0.357703,0.075953,-0.147585,2
-0.308758,0.032356,-0.231095,1
-0.050984,-0.094830,-0.287577,1
0.591054,-0.258105,0.409180,2
0.730407,0.183829,0.057461,2
-0.604431,-0.236296,0.046558,1
-0.418973,0.014995,-0.151971,1
-0.299628,-0.116021,-0.016269,1
0.569370,0.206094,-0.280140,2
0.394744,-0.085556,-0.049621,2
-0.623094,0.037545,0.040277,1
-0.749505,0.027828,0.002451,1
0.646344,-0.111597,0.325825,2
-0.543682,-0.123525,0.472453,1
-0.703196,0.053064,-0.398381,1
0.002186,0.041586,0.182245,2
-0.557450,-0.052434,0.094294,1
0.424490,-0.213958,0.050107,2
0.774548,-0.023853,0.440182,2
0.685671,0.067751,-0.138247,2
-0.471982,-0.154438,-0.306581,1
0.724280,-0.117479,-0.301297,2
-0.482689,0.306897,-0.348309,1
0.820057,-0.067523,-0.417537,2
-0.742762,-0.500000,0.355205,1
-0.274267,0.053206,-0.120799,1
0.764161,-0.233673,0.004125,2
0.235360,-0.237402,0.034450,2
-0.448225,-0.162824,0.229712,1
0.468300,-0.205561,0.012676,2
0.717671,0.220521,-0.045255,2
0.243999,-0.027165,0.230477,2
-0.646094,-0.092501,-0.011426,1
0.691972,0.385962,-0.061875,2
-0.542666,0.144850,0.429904,1
0.373692,-0.202457,-0.276812,2
-0.663726,0.082096,-0.046039,1
0.383585,0.316623,-0.367271,2
-0.071927,0.094325,0.496843,1
0.527944,0.016400,-0.164072,2
0.355592,0.302408,0.249405,2
0.820567,-0.009959,0.402534,2
0.756477,-0.161140,-0.378341,2
-0.715684,0.064934,-0.141919,1
0.658431,-0.085181,0.176702,2
-0.582995,0.296500,0.065766,1
0.328788,-0.363353,-0.280927,2
0.662859,0.035576,-0.249235,2
-0.553643,0.159529,0.350759,1
0.549445,-0.064982,-0.027043,2
0.412603,0.129285,0.177586,2
0.556332,0.302338,0.196970,2
0.484039,0.097161,-0.098415,2
-0.600773,-0.037094,-0.130812,1
0.209779,0.043648,0.096606,2
-0.727293,-0.073698,-0.483195,1
-0.715432,0.357252,0.265603,1
0.396436,0.023028,-0.131699,2
0.801680,-0.297600,-0.300560,2
0.377895,-0.180075,-0.012620,2
0.728616,-0.347704,-0.186244,2
-0.535735,-0.141076,0.126066,1
0.365064,-0.121843,-0.071838,2
0.503447,-0.304565,-0.206471,2
0.587116,0.109836,-0.163694,2
0.460675,-0.470897,-0.349742,2
-0.298677,-0.069201,-0.365817,1
-0.647897,-0.169717,-0.025916,1
-0.297651,-0.170725,0.147421,1
-0.543407,0.500000,-0.027613,1
-0.799115,0.342458,-0.381623,1
0.319751,0.160338,-0.143880,2
0.430508,-0.335040,0.162267,2
0.280416,0.039216,-0.287952,2
-0.574630,0.182902,-0.054468,1
0.213211,0.295564,0.074032,2
-0.487568,0.156378,0.206907,1
-0.517931,0.344087,-0.260189,1
-0.322615,0.139728,-0.148911,1
0.411772,0.245750,-0.268155,2
-0.548225,0.048671,-0.040975,1
0.601202,0.098722,-0.047299,2
0.289968,0.016837,0.065295,2
0.385580,-0.460496,-0.150604,2
-0.190667,-0.110833,0.056845,1
0.706353,-0.146018,-0.367491,2
-0.572976,0.364848,0.432347,1
0.762920,0.015570,0.020761,2
0.962383,0.498611,-0.052946,2
0.776742,-0.070625,-0.066227,2
0.425422,-0.042539,-0.092396,2
0.205376,0.005575,-0.137913,2
0.807427,-0.164164,0.401551,2
-0.808296,-0.067644,0.091627,1
0.340309,0.305567,0.181966,2
0.866490,0.199835,-0.326351,2
-0.534251,-0.031647,-0.044931,1
0.208335,0.137914,-0.057311,2
0.583082,0.391760,-0.362737,2
0.047085,0.024143,-0.262896,2
0.829162,0.083586,0.157823,2
-0.677420,-0.387968,0.036665,1
0.719244,-0.062810,0.061521,2
-0.349172,0.289466,0.167295,1
-0.601581,-0.220843,0.200380,1
0.351176,-0.129851,0.100791,2
0.203772,-0.376625,-0.060290,2
0.327418,0.250181,-0.266617,2
0.469721,0.300234,0.105747,2
0.361761,0.162277,0.083194,2
-0.789093,-0.152647,-0.059341,1
0.543901,0.136855,0.220719,2
0.928474,0.173410,-0.093365,2
-0.475455,0.065921,-0.069146,1
0.474037,0.156634,-0.201365,2
0.618661,-0.390085,-0.244310,2
0.623254,-0.047592,0.225062,2
-0.332086,0.207639,-0.095283,1
0.256922,-0.267069,0.384652,2
0.602458,0.245071,0.208980,2
0.412686,0.369211,0.064680,2
0.331023,-0.211588,0.150786,2
-0.215341,-0.222299,0.187181,1
0.753947,-0.263040,-0.057924,2
0.390375,-0.318673,0.017972,2
0.579703,0.131127,-0.033854,2
-0.425609,0.040853,0.183554,1
0.440185,-0.147459,-0.038601,2
0.442284,-0.165237,0.104892,2
0.485278,0.067079,0.003713,2
0.096298,0.263736,0.223486,2
0.420843,-0.386542,0.168410,2
0.770997,0.207576,-0.166843,2
-0.541026,-0.086664,-0.007251,1
-0.542794,0.247802,0.079525,1
0.506779,0.078186,-0.219211,2
0.429132,0.076840,-0.213875,2
-0.305764,0.074931,0.014937,1
-0.555067,0.042948,-0.110327,1
-0.946595,-0.255537,0.030685,1
0.442892,0.493628,0.210084,2
0.699917,0.049371,0.061393,2
-0.384460,0.079650,0.160795,1
-0.569657,0.195390,0.122711,1
-0.516172,0.019537,-0.197559,1
-0.763881,0.030930,0.379132,1
-0.398786,0.410043,0.323057,1
0.381299,-0.353301,0.161010,2
0.514170,-0.322064,0.147737,2
0.648357,0.064731,0.127638,2
0.653746,-0.123964,-0.057968,2
0.498622,-0.165142,0.084097,2
0.397401,0.204614,-0.055959,2
-0.414208,-0.064508,-0.108683,1
0.142241,0.182378,-0.294603,2
-0.374489,-0.426857,-0.280335,1
0.360442,-0.165977,-0.124381,2
-0.112714,0.142161,-0.112213,1
-0.215565,0.211353,-0.000580,1
0.509509,0.463753,0.231831,2
0.492807,-0.232365,0.135189,2
0.450361,0.063487,0.085865,2
-0.189269,0.404499,-0.188450,1
0.448061,0.021114,-0.113030,2
0.641961,-0.116459,-0.203162,2
0.570545,0.004151,-0.005892,2
-0.496154,-0.402630,0.074853,1
-0.195092,-0.021137,0.255736,1
-0.386618,-0.057982,0.091317,1
-0.648683,0.241579,0.262134,1
0.591583,0.088250,0.013774,2
0.667395,0.116068,0.116549,2
0.328500,0.089532,-0.113907,2
-0.054137,-0.004494,-0.094825,1
0.686460,0.146308,-0.099005,2
0.076167,0.173169,0.232994,2
0.889006,0.295829,-0.162139,2
-0.249441,-0.212769,-0.149840,1
-0.430299,0.055719,0.078449,1
0.735455,0.001437,0.118937,2
0.371111,-0.208380,0.220185,2
0.311935,0.153912,-0.287377,2
0.312895,-0.208537,-0.035544,2
0.632148,0.324426,0.227242,2
0.494143,-0.000807,-0.201603,2
0.560429,0.070955,0.159815,2
0.476516,0.091183,-0.107821,2
0.532024,-0.308858,-0.109175,2
0.648286,0.134774,0.269028,2
0.407640,-0.230701,-0.157339,2
0.489934,0.122870,-0.096337,2
-0.812193,-0.139594,0.189053,1
0.343675,0.007916,0.192525,2
-0.345645,0.092729,-0.064167,1
0.282130,-0.026916,0.389683,2
-0.610885,0.201877,0.456124,1
0.482993,0.073754,0.058670,2
-0.726148,-0.224991,-0.095615,1
0.737152,-0.260627,0.036358,2
0.427779,-0.148084,0.221565,2
-0.905498,0.472004,-0.095499,1
