x,y,z,label
-0.390276,0.281392,0.101909,1
-0.488699,-0.110221,0.407802,1
0.287365,0.281053,0.117728,2
0.284443,-0.219954,0.002799,2
-0.235819,-0.156498,-0.053952,1
0.317436,0.172891,0.182470,2
-0.348449,0.065827,-0.137625,1
0.282944,-0.058105,-0.205764,2
-0.602583,0.025362,0.025881,1
-0.512057,-0.092762,-0.176863,1
0.386459,-0.345920,0.083401,2
0.229009,-0.204388,-0.294897,2
-0.515218,0.020854,-0.441432,1
-0.392565,0.203236,0.014030,1
-0.465109,0.076109,0.086378,1
-0.414426,0.052871,0.235226,1
-0.338893,0.166946,-0.185392,1
-0.712263,-0.094229,-0.062301,1
0.813753,0.207354,0.068732,2
0.657406,-0.004806,-0.411556,2
-0.762560,-0.299568,0.266343,1
0.636805,-0.159024,0.320500,2
0.437961,0.152773,0.000799,2
-0.751662,-0.141879,-0.008766,1
-0.236674,-0.370892,-0.137673,1
0.887554,-0.346691,-0.003543,2
0.362547,-0.259076,0.021319,2
-0.630954,-0.125964,-0.444399,1
-0.490815,0.167573,0.034071,1
-0.717831,-0.199777,-0.354702,1
-0.500809,0.153131,0.020499,1
0.865018,0.011831,0.227393,2
0.227331,-0.331887,-0.143125,2
0.551957,0.103539,0.440608,2
-0.308970,-0.157682,0.077223,1
-0.765515,-0.374512,-0.133453,1
-0.394626,-0.279358,-0.271424,1
-0.605380,-0.322555,0.141448,1
-0.538087,0.210748,-0.057788,1
0.616148,-0.102014,-0.129278,2
0.644703,0.110657,-0.196563,2
-0.359691,-0.096674,0.084886,1
0.478248,0.249391,0.096835,2
0.418001,0.072736,0.136195,2
-0.778926,-0.052462,-0.117938,1
-0.531129,-0.242804,-0.010359,1
0.684349,-0.045407,0.130333,2
0.647828,-0.078204,-0.021073,2
0.544625,-0.002806,0.022410,2
-0.845535,0.218440,0.197413,1
0.335857,-0.136932,0.048827,2
0.399806,0.223679,-0.028376,2
-0.605940,0.261861,-0.126958,1
0.672785,-0.087613,0.276196,2
-0.404331,-0.083997,0.110754,1
0.610120,0.063071,0.150864,2
0.592566,-0.231319,0.080575,2
-0.654948,0.125183,0.111473,1
0.694596,0.245777,-0.156320,2
-0.528234,0.269469,-0.123061,1
0.538856,0.041287,0.122530,2
0.423056,-0.161870,-0.306698,2
