SceneID,ConditionID,RepetitionID,DatasetName,Distance,DensityRatio,CorrectAnswer
1,1,1,Stimuli1_-0.300_1,1.0,-0.300,1
2,1,2,Stimuli2_-0.300_2,1.0,-0.300,2
3,1,3,Stimuli3_-0.300_1,1.0,-0.300,1
4,1,4,Stimuli4_-0.300_1,1.0,-0.300,1
5,1,5,Stimuli5_-0.300_2,1.0,-0.300,2
6,1,6,Stimuli6_-0.300_2,1.0,-0.300,2
7,2,1,Stimuli67_+0.300_2,1.0,0.300,2
8,2,2,Stimuli68_+0.300_1,1.0,0.300,1
9,2,3,Stimuli69_+0.300_2,1.0,0.300,2
10,2,4,Stimuli70_+0.300_1,1.0,0.300,1
11,2,5,Stimuli71_+0.300_1,1.0,0.300,1
12,2,6,Stimuli72_+0.300_2,1.0,0.300,2
13,1,1,Stimuli1_-0.300_1,1.414,-0.300,1
14,1,2,Stimuli2_-0.300_2,1.414,-0.300,2
15,1,3,Stimuli3_-0.300_1,1.414,-0.300,1
16,1,4,Stimuli4_-0.300_1,1.414,-0.300,1
17,1,5,Stimuli5_-0.300_2,1.414,-0.300,2
18,1,6,Stimuli6_-0.300_2,1.414,-0.300,2
19,2,1,Stimuli67_+0.300_2,1.414,0.300,2
20,2,2,Stimuli68_+0.300_1,1.414,0.300,1
21,2,3,Stimuli69_+0.300_2,1.414,0.300,2
22,2,4,Stimuli70_+0.300_1,1.414,0.300,1
23,2,5,Stimuli71_+0.300_1,1.414,0.300,1
24,2,6,Stimuli72_+0.300_2,1.414,0.300,2
25,1,1,Stimuli1_-0.300_1,2.0,-0.300,1
26,1,2,Stimuli2_-0.300_2,2.0,-0.300,2
27,1,3,Stimuli3_-0.300_1,2.0,-0.300,1
28,1,4,Stimuli4_-0.300_1,2.0,-0.300,1
29,1,5,Stimuli5_-0.300_2,2.0,-0.300,2
30,1,6,Stimuli6_-0.300_2,2.0,-0.300,2
31,2,1,Stimuli67_+0.300_2,2.0,0.300,2
32,2,2,Stimuli68_+0.300_1,2.0,0.300,1
33,2,3,Stimuli69_+0.300_2,2.0,0.300,2
34,2,4,Stimuli70_+0.300_1,2.0,0.300,1
35,2,5,Stimuli71_+0.300_1,2.0,0.300,1
36,2,6,Stimuli72_+0.300_2,2.0,0.300,2
37,1,1,Stimuli1_-0.300_1,2.828,-0.300,1
38,1,2,Stimuli2_-0.300_2,2.828,-0.300,2
39,1,3,Stimuli3_-0.300_1,2.828,-0.300,1
40,1,4,Stimuli4_-0.300_1,2.828,-0.300,1
41,1,5,Stimuli5_-0.300_2,2.828,-0.300,2
42,1,6,Stimuli6_-0.300_2,2.828,-0.300,2
43,2,1,Stimuli67_+0.300_2,2.828,0.300,2
44,2,2,Stimuli68_+0.300_1,2.828,0.300,1
45,2,3,Stimuli69_+0.300_2,2.828,0.300,2
46,2,4,Stimuli70_+0.300_1,2.828,0.300,1
47,2,5,Stimuli71_+0.300_1,2.828,0.300,1
48,2,6,Stimuli72_+0.300_2,2.828,0.300,2
