SceneID,ConditionID,RepetitionID,DatasetName,Distance,DensityRatio,CorrectAnswer
1,1,1,Stimuli81_+0.200_2.csv,1,0.2,2
2,1,2,Stimuli82_+0.200_1.csv,1,0.2,1
3,1,3,Stimuli83_+0.200_1.csv,1,0.2,1
4,1,4,Stimuli84_+0.200_2.csv,1,0.2,2
5,1,5,Stimuli85_+0.200_1.csv,1,0.2,1
6,1,6,Stimuli86_+0.200_1.csv,1,0.2,1
7,1,7,Stimuli87_+0.200_2.csv,1,0.2,2
8,1,8,Stimuli88_+0.200_2.csv,1,0.2,2
9,1,9,Stimuli89_+0.200_2.csv,1,0.2,2
10,1,10,Stimuli90_+0.200_1.csv,1,0.2,1
11,2,1,Stimuli11_-0.200_2.csv,1,-0.2,2
12,2,2,Stimuli12_-0.200_1.csv,1,-0.2,1
13,2,3,Stimuli13_-0.200_1.csv,1,-0.2,1
14,2,4,Stimuli14_-0.200_1.csv,1,-0.2,1
15,2,5,Stimuli15_-0.200_2.csv,1,-0.2,2
16,2,6,Stimuli16_-0.200_1.csv,1,-0.2,1
17,2,7,Stimuli17_-0.200_2.csv,1,-0.2,2
18,2,8,Stimuli18_-0.200_2.csv,1,-0.2,2
19,2,9,Stimuli19_-0.200_2.csv,1,-0.2,2
20,2,10,Stimuli20_-0.200_1.csv,1,-0.2,1
21,1,1,Stimuli81_+0.200_2.csv,1.414,0.2,2
22,1,2,Stimuli82_+0.200_1.csv,1.414,0.2,1
23,1,3,Stimuli83_+0.200_1.csv,1.414,0.2,1
24,1,4,Stimuli84_+0.200_2.csv,1.414,0.2,2
25,1,5,Stimuli85_+0.200_1.csv,1.414,0.2,1
26,1,6,Stimuli86_+0.200_1.csv,1.414,0.2,1
27,1,7,Stimuli87_+0.200_2.csv,1.414,0.2,2
28,1,8,Stimuli88_+0.200_2.csv,1.414,0.2,2
29,1,9,Stimuli89_+0.200_2.csv,1.414,0.2,2
30,1,10,Stimuli90_+0.200_1.csv,1.414,0.2,1
31,2,1,Stimuli11_-0.200_2.csv,1.414,-0.2,2
32,2,2,Stimuli12_-0.200_1.csv,1.414,-0.2,1
33,2,3,Stimuli13_-0.200_1.csv,1.414,-0.2,1
34,2,4,Stimuli14_-0.200_1.csv,1.414,-0.2,1
35,2,5,Stimuli15_-0.200_2.csv,1.414,-0.2,2
36,2,6,Stimuli16_-0.200_1.csv,1.414,-0.2,1
37,2,7,Stimuli17_-0.200_2.csv,1.414,-0.2,2
38,2,8,Stimuli18_-0.200_2.csv,1.414,-0.2,2
39,2,9,Stimuli19_-0.200_2.csv,1.414,-0.2,2
40,2,10,Stimuli20_-0.200_1.csv,1.414,-0.2,1
41,1,1,Stimuli81_+0.200_2.csv,2,0.2,2
42,1,2,Stimuli82_+0.200_1.csv,2,0.2,1
43,1,3,Stimuli83_+0.200_1.csv,2,0.2,1
44,1,4,Stimuli84_+0.200_2.csv,2,0.2,2
45,1,5,Stimuli85_+0.200_1.csv,2,0.2,1
46,1,6,Stimuli86_+0.200_1.csv,2,0.2,1
47,1,7,Stimuli87_+0.200_2.csv,2,0.2,2
48,1,8,Stimuli88_+0.200_2.csv,2,0.2,2
49,1,9,Stimuli89_+0.200_2.csv,2,0.2,2
50,1,10,Stimuli90_+0.200_1.csv,2,0.2,1
51,2,1,Stimuli11_-0.200_2.csv,2,-0.2,2
52,2,2,Stimuli12_-0.200_1.csv,2,-0.2,1
53,2,3,Stimuli13_-0.200_1.csv,2,-0.2,1
54,2,4,Stimuli14_-0.200_1.csv,2,-0.2,1
55,2,5,Stimuli15_-0.200_2.csv,2,-0.2,2
56,2,6,Stimuli16_-0.200_1.csv,2,-0.2,1
57,2,7,Stimuli17_-0.200_2.csv,2,-0.2,2
58,2,8,Stimuli18_-0.200_2.csv,2,-0.2,2
59,2,9,Stimuli19_-0.200_2.csv,2,-0.2,2
60,2,10,Stimuli20_-0.200_1.csv,2,-0.2,1
61,1,1,Stimuli81_+0.200_2.csv,2.828,0.2,2
62,1,2,Stimuli82_+0.200_1.csv,2.828,0.2,1
63,1,3,Stimuli83_+0.200_1.csv,2.828,0.2,1
64,1,4,Stimuli84_+0.200_2.csv,2.828,0.2,2
65,1,5,Stimuli85_+0.200_1.csv,2.828,0.2,1
66,1,6,Stimuli86_+0.200_1.csv,2.828,0.2,1
67,1,7,Stimuli87_+0.200_2.csv,2.828,0.2,2
68,1,8,Stimuli88_+0.200_2.csv,2.828,0.2,2
69,1,9,Stimuli89_+0.200_2.csv,2.828,0.2,2
70,1,10,Stimuli90_+0.200_1.csv,2.828,0.2,1
71,2,1,Stimuli11_-0.200_2.csv,2.828,-0.2,2
72,2,2,Stimuli12_-0.200_1.csv,2.828,-0.2,1
73,2,3,Stimuli13_-0.200_1.csv,2.828,-0.2,1
74,2,4,Stimuli14_-0.200_1.csv,2.828,-0.2,1
75,2,5,Stimuli15_-0.200_2.csv,2.828,-0.2,2
76,2,6,Stimuli16_-0.200_1.csv,2.828,-0.2,1
77,2,7,Stimuli17_-0.200_2.csv,2.828,-0.2,2
78,2,8,Stimuli18_-0.200_2.csv,2.828,-0.2,2
79,2,9,Stimuli19_-0.200_2.csv,2.828,-0.2,2
80,2,10,Stimuli20_-0.200_1.csv,2.828,-0.2,1
