x,y,z,label
0.856302,-0.143533,-0.383127,2
0.581421,-0.166691,0.132066,2
-0.135046,-0.209362,-0.213781,1
-0.626607,0.212685,0.218660,1
-0.410722,0.022454,0.291879,1
0.393566,-0.068980,-0.048948,2
0.051175,-0.332146,0.023825,2
0.241328,0.025444,-0.224825,2
0.817390,-0.169509,-0.052649,2
0.380525,0.149901,0.239038,2
-0.582412,-0.202810,0.068049,1
0.821298,0.035248,0.020493,2
0.480861,-0.143798,-0.098255,2
0.498510,0.164136,-0.015284,2
-0.539004,-0.132094,0.073564,1
0.635223,0.172710,0.183709,2
-0.436627,-0.255223,0.072918,1
-0.534050,0.022697,0.128479,1
-0.351547,-0.092542,-0.203741,1
-0.306184,0.033498,0.202156,1
-0.675330,0.009733,-0.216121,1
-0.375290,-0.040827,0.073340,1
-0.574656,-0.119720,0.007368,1
-0.835192,-0.383117,0.218269,1
-0.541540,0.017972,-0.079273,1
0.673343,-0.221360,-0.118034,2
-0.404751,-0.162998,-0.478246,1
-0.540785,-0.449822,-0.099928,1
-0.524847,-0.145184,-0.500000,1
-0.390386,0.136051,-0.172156,1
-0.289600,-0.444206,0.166100,1
-0.826006,0.175627,0.079084,1
-0.141584,-0.091487,-0.082178,1
-0.934408,0.070369,0.143066,1
0.245935,-0.209754,-0.226924,2
-0.838632,0.032929,0.071173,1
0.553153,0.057983,-0.299024,2
0.253907,-0.106762,0.280945,2
-0.734822,-0.024216,-0.028635,1
0.855522,-0.240900,-0.045101,2
0.318692,0.142196,-0.158085,2
-0.584152,0.291748,-0.006705,1
-0.893387,0.115504,0.352710,1
-0.306172,-0.311834,-0.063889,1
0.566978,0.341108,0.158426,2
0.627076,0.371393,-0.041832,2
-0.564891,0.429438,-0.280667,1
-0.776837,0.093639,0.063333,1
-0.194350,-0.101938,-0.064060,1
-0.622276,0.138504,-0.108905,1
-0.666305,-0.269837,-0.057068,1
0.264316,-0.195135,0.069922,2
0.560990,-0.050670,-0.430011,2
-0.359969,-0.075779,-0.108670,1
-0.236898,0.363805,0.208080,1
0.635454,0.083282,-0.273631,2
-0.160067,-0.114081,-0.062457,1
0.474609,-0.009859,-0.074237,2
-0.855263,0.048093,-0.460123,1
-0.646186,-0.429174,0.027963,1
-0.096345,-0.041816,0.284602,1
-0.537803,-0.063027,0.169892,1
0.682284,-0.117896,0.150420,2
-0.602370,0.048606,-0.248359,1
0.820899,0.257239,-0.146796,2
0.689323,-0.307431,-0.117703,2
0.530417,0.103692,0.125792,2
-0.278562,0.104742,-0.212998,1
-0.278386,-0.083365,0.010794,1
0.590548,-0.137224,-0.228459,2
0.381058,0.034659,-0.203305,2
0.628915,-0.055411,-0.279450,2
0.175947,-0.138805,-0.179934,2
-0.571268,-0.097810,-0.128138,1
-0.766541,-0.145164,-0.223712,1
-0.441984,0.381167,0.331788,1
0.336676,0.049917,-0.343216,2
0.255420,0.205518,-0.007113,2
0.466720,0.092614,0.121968,2
-0.521634,-0.252744,-0.368297,1
0.455245,-0.131656,-0.084948,2
-0.348435,-0.042283,0.323111,1
-0.654190,-0.068358,0.280591,1
-0.037104,0.299660,0.064658,1
-0.326590,-0.335507,-0.295922,1
0.390887,-0.011157,0.116041,2
-0.732428,0.276653,0.046596,1
-0.608770,-0.095480,0.165221,1
-0.404450,-0.226937,0.150467,1
-0.492127,-0.020788,0.299880,1
0.200858,-0.239004,-0.089889,2
-0.457332,0.119093,-0.005547,1
0.319499,-0.132955,0.379898,2
-0.377120,0.141836,-0.238704,1
-0.552563,0.020748,0.258945,1
-0.242486,-0.325260,0.077932,1
-0.684690,-0.347323,-0.372733,1
-0.456930,-0.185035,0.137636,1
0.378665,0.016396,0.005844,2
0.664615,-0.067593,0.027130,2
-0.729586,-0.113041,0.374465,1
0.261180,0.126034,-0.038746,2
0.662934,-0.118328,-0.019536,2
0.902350,0.057568,-0.041595,2
0.442091,0.003750,-0.113057,2
-0.497910,0.202533,0.165835,1
-0.520571,0.408288,0.042024,1
-0.713139,-0.216977,-0.042174,1
0.571288,-0.205001,-0.231180,2
-0.807649,0.250994,-0.291666,1
-0.583383,0.054829,0.301280,1
0.312254,0.034082,0.048592,2
0.397841,0.162418,0.055853,2
-0.803654,-0.394319,-0.083009,1
-0.745380,-0.057918,-0.108943,1
0.080385,-0.343710,-0.110536,2
-0.445411,-0.188373,-0.115872,1
-0.502456,0.190645,0.064063,1
-0.569648,0.092828,0.314518,1
-0.474567,-0.189559,0.050701,1
-0.168767,-0.125050,-0.112977,1
-0.573215,-0.070125,0.158088,1
0.337225,0.248163,0.046950,2
-0.630447,-0.040430,0.083933,1
-0.703386,0.034201,0.026887,1
-0.188630,-0.102740,0.025832,1
-0.747801,-0.011277,-0.434290,1
-0.481019,-0.339316,0.094099,1
0.270097,0.056656,0.263985,2
0.845564,-0.079982,-0.138081,2
-0.615440,0.043202,-0.308498,1
0.497468,0.207993,0.069530,2
-0.657121,0.039865,0.040821,1
-0.404723,0.063607,-0.080562,1
-0.594602,0.030171,0.132857,1
0.554367,0.079678,0.008327,2
-0.394286,-0.219809,-0.227504,1
-0.687286,0.016133,0.139396,1
-0.124850,-0.064158,-0.404728,1
0.072079,-0.412374,-0.006709,2
-0.417269,-0.268830,-0.188677,1
-0.549202,0.132001,-0.068115,1
-0.360099,-0.103246,-0.251685,1
-0.790120,-0.102146,0.323020,1
-0.732752,0.106141,0.068135,1
-0.586532,0.273074,0.017193,1
0.465740,-0.180912,0.145105,2
-0.384251,-0.174545,-0.153313,1
0.801311,-0.059564,-0.036192,2
-0.484258,0.307339,0.097701,1
0.611292,-0.368730,-0.036014,2
0.444637,-0.019572,0.294275,2
0.213638,0.299097,0.250904,2
0.554897,-0.136141,-0.261709,2
-0.362459,0.190457,0.248275,1
-0.392407,-0.016353,0.016962,1
0.821669,0.306178,-0.117653,2
-0.221527,0.005403,-0.132165,1
0.575235,-0.167768,0.033089,2
-0.419798,0.122767,-0.016681,1
0.968001,0.040547,-0.137182,2
0.656258,0.095707,0.134537,2
-0.257164,-0.011637,0.477991,1
0.311902,0.023902,-0.301142,2
0.648000,-0.356230,-0.303275,2
-0.335324,-0.163520,-0.414435,1
0.352719,-0.122764,-0.164217,2
-0.476463,-0.059311,0.258212,1
0.170411,0.125127,0.073831,2
-0.336465,0.122438,0.216856,1
0.359342,0.047025,-0.036586,2
-0.796621,-0.405071,0.016395,1
-0.371018,-0.423800,0.304599,1
0.690192,0.137134,-0.062264,2
0.376167,-0.201222,-0.050023,2
0.773471,0.083858,0.171537,2
