x,y,z,label
0.888865,0.267879,0.500000,2
0.304832,0.171410,0.321127,2
-0.319928,0.070437,-0.112150,1
-0.580021,-0.104726,0.500000,1
0.447803,0.406181,-0.026160,2
0.897607,0.123790,0.258999,2
0.663384,0.217147,0.387185,2
0.515880,0.001931,0.098061,2
-0.648899,0.127945,-0.001111,1
0.385134,-0.121068,-0.063026,2
0.360585,0.027500,-0.130844,2
0.696620,0.132573,-0.216918,2
-0.616828,0.027192,-0.115369,1
-0.450421,-0.481198,0.069118,1
0.457746,-0.105886,0.086335,2
0.563716,-0.419564,0.248594,2
-0.511566,-0.289145,-0.386316,1
0.703313,-0.173289,-0.242724,2
0.019855,0.153832,0.038367,2
0.509323,0.120460,-0.013469,2
0.498412,-0.103319,-0.322382,2
0.629727,-0.208894,-0.272899,2
0.711146,0.009313,0.030619,2
0.723164,0.140547,-0.155833,2
-0.234529,-0.110810,0.466541,1
0.812161,0.029642,0.055522,2
-0.457779,-0.278256,-0.356666,1
-0.397405,0.213973,0.292096,1
-0.604187,0.236649,0.087926,1
-0.219182,0.263111,0.170928,1
0.783215,0.359851,-0.103885,2
-0.034883,0.053068,-0.165420,1
-0.483391,0.115708,0.262946,1
0.513110,0.121851,-0.177440,2
0.263341,0.480040,-0.150658,2
0.826918,0.193061,-0.391917,2
0.345388,-0.094275,0.183929,2
0.544947,0.330055,-0.497941,2
-0.283678,0.444434,0.011283,1
-0.426908,-0.043844,0.101811,1
-0.623958,0.301556,0.156609,1
-0.669656,0.242781,-0.237954,1
-0.207501,0.225246,0.047806,1
0.325656,-0.051074,0.079449,2
-0.343688,0.055877,0.069859,1
0.642869,0.066326,-0.265887,2
-0.758948,-0.185258,0.053715,1
0.386048,0.151428,-0.265114,2
0.458854,0.205204,-0.165819,2
-0.634021,-0.263431,0.087865,1
-0.310439,-0.304887,-0.256385,1
0.313650,-0.169887,0.088864,2
-0.103469,0.030024,0.296345,1
-0.557100,0.113173,0.251791,1
-0.445378,0.139648,-0.121213,1
0.715494,-0.207762,-0.042615,2
-0.885789,-0.365308,0.138646,1
-0.208091,0.297699,0.309321,1
0.356020,0.305560,0.388723,2
0.740615,-0.103454,-0.063126,2
0.675575,0.025234,0.270592,2
-0.150017,-0.297141,0.014028,1
0.673340,0.116678,-0.056057,2
0.444172,-0.067656,0.034219,2
0.414256,0.293681,0.327570,2
-0.969083,-0.227432,-0.106289,1
0.135990,0.066041,0.147431,2
-0.503591,-0.155949,0.165297,1
0.561516,0.204842,-0.248241,2
0.657814,-0.236070,-0.113942,2
0.520647,0.351726,0.158216,2
-0.101396,0.310438,-0.274905,1
0.974151,0.239187,-0.124462,2
-0.402456,0.080594,-0.197765,1
0.598456,0.070292,-0.274592,2
0.249217,-0.074309,-0.175669,2
0.498532,0.288752,0.223589,2
0.252741,0.156072,-0.152524,2
0.341785,-0.038160,0.002792,2
0.604694,0.246141,-0.211241,2
0.364198,-0.009008,-0.153696,2
0.552673,0.032955,-0.140545,2
-0.439210,-0.186825,0.328421,1
0.697705,0.319879,0.154104,2
0.533437,0.262602,-0.070707,2
0.371404,0.012825,0.046065,2
-0.682018,0.179183,-0.209286,1
0.467713,-0.001421,0.290631,2
0.287770,0.198460,0.091441,2
0.424586,-0.192254,0.283000,2
-0.575926,-0.151736,0.143753,1
-0.263043,0.340892,-0.116014,1
0.863975,-0.364947,0.016096,2
-0.707887,0.043263,-0.134457,1
-0.265973,0.340713,0.103291,1
0.631245,-0.311664,-0.125720,2
-0.764459,-0.107976,0.284059,1
0.324806,-0.095762,0.048238,2
-0.646673,-0.022266,0.044448,1
0.497348,-0.057409,0.189823,2
0.552424,0.121787,0.399840,2
-0.606205,0.195546,-0.267210,1
0.515387,-0.070001,0.038712,2
0.367262,-0.320435,-0.060684,2
0.367399,0.345059,-0.286814,2
-0.428335,-0.363806,0.024383,1
-0.205036,0.136811,-0.107912,1
-0.365938,0.256657,-0.086975,1
0.562249,0.408161,-0.151597,2
-0.466235,-0.090664,0.228437,1
-0.321586,-0.498437,-0.067788,1
-0.696001,-0.207312,-0.005016,1
0.464689,-0.010147,0.161776,2
-0.924297,-0.137139,0.172499,1
-0.457842,-0.117554,0.297707,1
0.362885,0.121017,0.046274,2
-0.338852,0.211888,-0.002591,1
-0.296269,0.271924,-0.410143,1
0.326529,0.248043,-0.129567,2
0.335965,0.344002,-0.293206,2
0.626872,-0.253010,0.181224,2
0.409087,-0.163340,0.182554,2
-0.646337,0.006832,0.112964,1
-0.338692,-0.068603,0.185352,1
-0.917311,-0.327765,-0.009605,1
0.474218,-0.023119,-0.095748,2
-0.358776,0.060405,-0.410734,1
0.530954,0.124647,0.191353,2
0.276978,-0.073571,-0.216560,2
-0.908552,-0.121003,0.014687,1
0.273545,0.177527,-0.001728,2
-0.573864,-0.146574,0.176746,1
0.282012,0.153945,-0.221191,2
-0.383084,-0.110396,0.019509,1
0.177402,0.185895,0.003297,2
0.782047,0.367650,0.487075,2
-0.637338,-0.226463,-0.093675,1
-0.552665,0.461085,0.219656,1
-0.933936,-0.063543,0.097254,1
0.510608,-0.051554,-0.000991,2
-0.306947,0.134517,-0.113182,1
0.505978,-0.232668,0.389844,2
0.396325,-0.056784,0.121565,2
0.377854,0.177636,-0.023519,2
-0.857545,0.134156,-0.206257,1
-0.480336,0.149836,0.009460,1
-0.827100,0.355730,-0.291637,1
0.616247,0.185943,-0.209965,2
-0.089823,0.313050,0.293292,1
0.573521,0.220694,-0.177904,2
0.559621,-0.033171,0.111093,2
-0.514294,0.385798,0.041235,1
-0.749365,0.048418,-0.014605,1
0.342419,0.376555,-0.220459,2
0.415950,-0.165648,0.093313,2
0.448128,0.262365,-0.059479,2
-0.883027,0.195250,-0.088850,1
-0.395429,0.005755,0.307634,1
0.358361,-0.031531,-0.161968,2
-0.237345,-0.320577,0.193675,1
0.462062,-0.437410,-0.197807,2
-0.367679,0.256643,-0.064929,1
0.611727,-0.260764,-0.118385,2
-0.687908,0.003026,-0.254747,1
-0.824444,-0.156696,0.080262,1
-0.370225,0.249572,-0.181337,1
0.205572,0.236645,-0.161893,2
0.672926,-0.202859,0.379103,2
-0.171203,0.010811,0.418325,1
0.707890,0.247558,-0.031259,2
-0.565947,0.269368,0.165159,1
0.652329,-0.285877,-0.105780,2
-0.670089,0.172102,0.290051,1
0.297828,-0.122552,0.119133,2
0.379584,0.139053,0.297991,2
-0.625472,-0.030937,0.226008,1
0.909887,-0.117490,0.210506,2
-0.395648,-0.221270,-0.241897,1
0.287747,0.174773,-0.000124,2
-0.839083,-0.420266,-0.073479,1
0.381946,0.148003,0.276943,2
0.331459,0.406924,-0.350875,2
0.800760,0.112952,0.245789,2
-0.219241,-0.145660,0.227557,1
-0.273807,-0.160508,0.367867,1
-0.649331,-0.429250,0.133749,1
-0.759381,0.107996,0.210561,1
-0.313054,0.276846,0.085142,1
-0.376111,0.016297,0.237271,1
0.601142,0.471347,-0.031897,2
-0.439239,0.356934,0.150392,1
-0.603391,0.077464,0.209175,1
0.445167,0.101165,-0.175065,2
0.661927,0.030667,0.116243,2
-0.803339,0.066767,-0.325515,1
0.777646,-0.428426,0.067493,2
0.718394,-0.301827,-0.031655,2
0.582435,-0.048815,0.469319,2
-0.674754,-0.281375,0.288600,1
-0.236435,-0.010692,0.027759,1
0.141050,0.153520,0.023505,2
0.532240,-0.005921,0.214168,2
0.466285,-0.105163,0.127778,2
0.055328,-0.050316,0.043195,2
-0.368943,0.221587,-0.242247,1
0.150791,-0.197213,-0.096673,2
0.381783,-0.183645,0.254054,2
-0.416581,0.023720,-0.081476,1
0.271126,-0.034418,-0.000429,2
-0.165545,-0.081291,-0.068277,1
0.490036,-0.084392,0.167514,2
0.666170,-0.184861,0.059577,2
0.638833,0.083113,0.172724,2
0.469451,-0.149901,-0.104691,2
-0.540519,-0.114608,-0.109662,1
0.648689,-0.225605,0.188916,2
0.603339,-0.066581,-0.387582,2
0.118177,0.021720,0.108530,2
0.831180,0.110980,0.240375,2
0.430969,-0.163822,0.335011,2
-0.442476,-0.108120,-0.007815,1
0.526282,0.203076,-0.074944,2
0.196275,0.395681,-0.016688,2
0.610546,0.277020,0.250055,2
-0.032163,0.186712,-0.255327,1
0.132882,-0.065626,0.374953,2
0.696369,0.100125,0.155367,2
-0.718103,-0.090187,-0.242859,1
-0.667744,0.038902,0.035370,1
-0.215983,0.019062,-0.122793,1
0.249233,0.201792,0.255353,2
-0.525959,-0.233359,0.005216,1
0.078400,0.074113,0.286163,2
-0.036973,-0.048159,-0.420259,1
-0.812352,0.136978,-0.320249,1
0.157895,-0.268420,-0.133111,2
